Instance,voltage,time
0,-0.002799,5.037E-07
1,-0.002,5.042E-07
2,0.0003999,5.047E-07
3,-0.001399,5.052E-07
4,-0.003199,5.057E-07
5,-0.001099,5.062E-07
6,-0.0026,5.067E-07
7,-0.004999,5.072E-07
8,0.0017999,5.077E-07
9,-0.0026,5.082E-07
10,0.0006,5.087E-07
11,-0.002,5.092E-07
12,-0.0054,5.097E-07
13,-0.000699,5.102E-07
14,0.0001999,5.107E-07
15,0.0003999,5.112E-07
16,0.0028999,5.117E-07
17,0.0012,5.122E-07
18,-0.0026,5.127E-07
19,0.0007999,5.132E-07
20,0.0017999,5.137E-07
21,-0.0019,5.142E-07
22,0.0027,5.147E-07
23,-0.000899,5.152E-07
24,0.0021999,5.157E-07
25,0.0024,5.162E-07
26,-0.006,5.167E-07
27,0.0026,5.172E-07
28,-0.0035,5.177E-07
29,-0.004399,5.182E-07
30,0.003,5.187E-07
31,-0.0013,5.192E-07
32,-0.0013,5.197E-07
33,0.0003999,5.202E-07
34,-0.0015,5.207E-07
35,0,5.212E-07
36,-0.002199,5.217E-07
37,-0.0012,5.222E-07
38,-0.005299,5.227E-07
39,-0.000699,5.232E-07
40,0.0006,5.237E-07
41,-0.0096,5.242E-07
42,-0.000799,5.247E-07
43,-0.005799,5.252E-07
44,-0.0035,5.257E-07
45,-0.005599,5.262E-07
46,-0.0038,5.267E-07
47,-0.001799,5.272E-07
48,-0.0027,5.277E-07
49,-0.001,5.282E-07
50,-0.0006,5.287E-07
51,-0.0026,5.292E-07
52,-0.000699,5.297E-07
53,0.0013999,5.302E-07
54,9.999E-05,5.307E-07
55,-0.0037,5.312E-07
56,0.0032999,5.317E-07
57,0.002,5.322E-07
58,-0.001,5.327E-07
59,-0.000199,5.332E-07
60,-9.99E-05,5.337E-07
61,-9.99E-05,5.342E-07
62,-0.0015,5.347E-07
63,0.0023,5.352E-07
64,0.0021999,5.357E-07
65,-0.0024,5.362E-07
66,-0.0006,5.367E-07
67,-0.002,5.372E-07
68,-0.0005,5.377E-07
69,-0.001599,5.382E-07
70,-0.0057,5.387E-07
71,-0.0043,5.392E-07
72,-0.003899,5.397E-07
73,-0.004499,5.402E-07
74,-0.0054,5.407E-07
75,-0.0015,5.412E-07
76,-0.003299,5.417E-07
77,-0.001,5.422E-07
78,0.0017999,5.427E-07
79,-0.001799,5.432E-07
80,-0.002799,5.437E-07
81,0.0015999,5.442E-07
82,0.0043,5.447E-07
83,0.0015,5.452E-07
84,-9.99E-05,5.457E-07
85,-0.000199,5.462E-07
86,0.0062,5.467E-07
87,9.999E-05,5.472E-07
88,-0.003899,5.477E-07
